Country Name,Date,CO2 emissions (metric tons per capita),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)"
Thailand,2012,3.71587527554888,2.68024039,157.07769982,12.4
Thailand,2013,3.85152032550116,2.62275028,161.77828882,11.8
Thailand,2014,3.77943792893464,2.78856063,165.97167406,11.3
Thailand,2015,3.8285940704904,2.74870181,160.52558273,10.8
Thailand,2016,3.78012232419006,2.85137558,170.89178125,10.3
Thailand,2017,3.76622871290066,2.76579475,182.37137871,9.9
Thailand,2018,3.71403920358071,2.69087815,196.35004381,9.4
United Kingdom,2002,8.93086949829055,6.15115213,1848.28848655,6.3
United Kingdom,2003,9.08804728145118,6.37286091,2196.72493118,6.2
United Kingdom,2004,9.04048907859009,6.72644663,2713.50843951,6.1
United Kingdom,2005,8.9501524191421,6.86174393,2887.8150874,6.0
United Kingdom,2006,8.90169773868215,7.06341505,3153.09286995,5.9
United Kingdom,2007,8.62913806968256,7.0624342,3577.37641434,5.8
United Kingdom,2008,8.3228443641371,7.38709784,3505.2259204,5.6
United Kingdom,2009,7.4686553963492,8.17551804,3178.78911475,5.4
United Kingdom,2010,7.67592642970483,8.07929516,3207.38450556,5.2
United Kingdom,2011,7.02542460093701,8.06530571,3403.98178013,5.0
United Kingdom,2012,7.33247132682362,8.05242443,3429.2251308,4.8
United Kingdom,2013,7.06490255865771,7.97009706,3471.19111868,4.7
United Kingdom,2014,6.42159819144514,7.96156025,3792.67428839,4.5
United Kingdom,2015,6.14854495774701,7.92137241,3582.18679901,4.5
United Kingdom,2016,5.77474166798541,7.92683458,3265.41027922,4.4
United Kingdom,2017,5.54626594443601,7.8130374,3159.39594302,4.4
United Kingdom,2018,5.39870813789348,7.86187077,3389.78836834,4.3
United States,2002,19.4494784745785,6.3218236,2406.65111255,8.2
United States,2003,19.5087047137039,6.52211809,2578.606216,8.1
United States,2004,19.6035728834387,6.61016417,2761.53481905,8.1
United States,2005,19.4780260042178,6.62940884,2929.73292438,8.0
United States,2006,18.9576435024889,6.80890989,3159.01278784,7.9
United States,2007,19.0560269540732,6.9233551,3328.42807178,7.7
United States,2008,18.2948056259689,7.25172758,3515.59985961,7.6
United States,2009,16.8188684811099,7.87523222,3714.85141545,7.5
United States,2010,17.4341958733314,7.94476509,3854.49548183,7.3
United States,2011,16.599403740534,7.92789316,3954.62862548,7.2
United States,2012,15.7711446187591,7.90049934,4074.73127937,7.1
United States,2013,16.1029578354008,7.94619036,4215.40378442,7.0
United States,2014,16.0263790723251,8.23888111,4531.41727301,6.9
United States,2015,15.535342110601,8.45250511,4804.29225078,6.8
United States,2016,15.1317468158119,8.55732727,4965.9381477,6.7
United States,2017,14.8058824221278,8.51218987,5117.23641872,6.6
United States,2018,15.2408745833286,8.47234249,5338.81790143,6.5
Vietnam,2002,0.812908356749419,1.31295264,7.16934722,27.4
Vietnam,2003,0.856118923496674,1.20678008,7.36380559,26.4
Vietnam,2004,1.01682077512924,1.35462737,10.24890108,25.6
Vietnam,2005,1.0979014360775,1.47417974,12.8682337,24.9
Vietnam,2006,1.13168019705606,1.52994156,15.23721709,24.4
Vietnam,2007,1.23367488028624,1.51937377,17.48388091,23.9
Vietnam,2008,1.36381412686027,1.52749527,22.29302947,23.5
Vietnam,2009,1.51241930252118,1.51122534,23.3573898,23.2
Vietnam,2010,1.69880622599295,1.86173725,31.15348338,22.9
Vietnam,2011,1.67680521325065,1.78486931,34.66353448,22.7
Vietnam,2012,1.63994255535232,2.09637356,45.65949866,22.4
Vietnam,2013,1.6928441923417,2.39113688,56.3077061,22.2
Vietnam,2014,1.83789035134824,1.93541718,49.26475222,22.0
Vietnam,2015,2.25730024603062,1.90878153,49.27776173,21.8
Vietnam,2016,2.39074070939547,2.14321518,58.84340106,21.6
Vietnam,2017,2.34808129158276,2.17300439,64.62774436,21.4
Vietnam,2018,2.69880592228919,2.09576464,67.91673632,21.3
